Surname_Group,UniqueTransported,TransportedCount,TotalPeople,Group,AllSameTransported,NotTransportedCount
Acobson_4220,1,0,1,4220,True,1
Acobson_6905,2,1,3,6905,False,2
Acobsond_2220,1,1,1,2220,True,0
Acobsond_5671,1,0,1,5671,True,1
Acobsond_991,1,0,1,991,True,1
Adavisons_1425,2,2,3,1425,False,1
Adavisons_1766,1,0,1,1766,True,1
Adavisons_192,2,1,3,192,False,2
Adavisons_6509,1,1,1,6509,True,0
Adavisons_7303,1,0,1,7303,True,1
Adkinson_1778,1,0,1,1778,True,1
Adkinson_2970,1,0,1,2970,True,1
Adkinson_7786,1,0,1,7786,True,1
Admingried_7585,2,3,4,7585,False,1
Ageurante_853,1,1,1,853,True,0
Aginge_237,1,1,1,237,True,0
Ailled_1450,2,1,2,1450,False,1
Aillyber_2204,1,1,1,2204,True,0
Aillyber_5152,1,0,1,5152,True,1
Aillyber_5179,1,1,1,5179,True,0
Aiming_784,1,1,1,784,True,0
Ainatint_5112,1,1,1,5112,True,0
Ainatint_5194,1,2,2,5194,True,0
Aindlylid_8475,1,0,2,8475,True,2
Ainserfle_3412,2,2,3,3412,False,1
Ainserfle_4127,1,1,1,4127,True,0
Ainserfle_4944,2,1,3,4944,False,2
Ainserfle_6561,2,1,2,6561,False,1
Ainserfle_756,1,2,2,756,True,0
Airdring_6557,1,0,1,6557,True,1
Aivering_5089,2,1,2,5089,False,1
Alaring_2074,2,1,2,2074,False,1
Alaring_2348,1,0,1,2348,True,1
Alaring_3030,1,2,2,3030,True,0
Alaring_8741,1,2,2,8741,True,0
Alaxed_5740,1,0,1,5740,True,1
Alaxed_6747,1,1,1,6747,True,0
Alberts_3939,1,0,1,3939,True,1
Alberts_4880,1,0,1,4880,True,1
Alberts_5659,1,0,1,5659,True,1
Alberts_6394,2,2,3,6394,False,1
Alcemblery_2300,1,0,2,2300,True,2
Alcemblery_6279,1,0,1,6279,True,1
Alcemblery_8719,1,0,1,8719,True,1
Alcemblery_904,1,0,1,904,True,1
Alenat_3767,1,0,1,3767,True,1
Alenat_7576,2,1,2,7576,False,1
Alenter_3311,1,0,1,3311,True,1
Alenter_4930,1,2,2,4930,True,0
Alenter_5174,2,1,2,5174,False,1
Alenter_5378,1,0,1,5378,True,1
Alentonway_4382,1,1,1,4382,True,0
Alentonway_531,2,1,2,531,False,1
Alentonway_5763,1,0,2,5763,True,2
Alentonway_7520,1,0,1,7520,True,1
Alest_1657,1,0,1,1657,True,1
Alest_1721,1,0,1,1721,True,1
Alest_4239,1,0,1,4239,True,1
Alfordonard_1221,1,0,2,1221,True,2
Alfordonard_1465,1,0,1,1465,True,1
Alfordonard_2233,1,0,1,2233,True,1
Alfordonard_4610,1,0,1,4610,True,1
Alfordonard_5445,1,0,1,5445,True,1
Alindiveng_7531,1,2,2,7531,True,0
Alindiveng_7574,1,1,1,7574,True,0
Alldson_2026,1,0,1,2026,True,1
Alldson_3080,1,0,1,3080,True,1
Alldson_3605,1,1,1,3605,True,0
Alldson_5501,1,1,1,5501,True,0
Alldson_7173,1,1,1,7173,True,0
Alldson_898,1,0,1,898,True,1
Alldson_9019,1,0,1,9019,True,1
Aloubtled_110,2,2,3,110,False,1
Aloubtled_8218,1,1,1,8218,True,0
Aloubtled_8470,1,0,1,8470,True,1
Alshipson_1331,1,1,1,1331,True,0
Alshipson_4221,1,1,1,4221,True,0
Alshipson_6031,1,1,1,6031,True,0
Alshipson_7743,1,0,1,7743,True,1
Alvasquez_1211,2,1,4,1211,False,3
Alvasquez_3856,1,1,1,3856,True,0
Alvasquez_5707,1,1,1,5707,True,0
Alvasquez_8760,1,0,1,8760,True,1
Alvercal_8755,1,1,1,8755,True,0
Alvesssidy_8696,1,1,1,8696,True,0
Ambleetive_3747,1,1,1,3747,True,0
Ambleetive_4891,1,1,1,4891,True,0
Ambleetive_6848,1,1,1,6848,True,0
Ambleetive_8081,1,1,1,8081,True,0
Ambleetive_8867,1,2,2,8867,True,0
Ambleeve_4428,1,1,1,4428,True,0
Amblereld_4609,1,0,1,4609,True,1
Amblereld_5709,1,1,1,5709,True,0
Ametic_2433,1,1,1,2433,True,0
Ametic_4743,1,1,1,4743,True,0
Ametic_6191,1,4,4,6191,True,0
Amincrerus_2012,1,0,1,2012,True,1
Amincrerus_3736,1,1,1,3736,True,0
Amincrerus_8333,1,0,1,8333,True,1
Amonsmane_6931,1,1,1,6931,True,0
Amonsmane_7026,1,0,1,7026,True,1
Amonysidle_7432,1,1,1,7432,True,0
Amoutake_2628,2,1,2,2628,False,1
Amsive_251,1,1,1,251,True,0
Amspring_8842,1,1,1,8842,True,0
Anake_8885,1,0,1,8885,True,1
Anche_165,1,1,1,165,True,0
Anche_3636,1,0,1,3636,True,1
Ancontaked_7897,1,1,1,7897,True,0
Ancy_2878,1,1,1,2878,True,0
Ancy_6123,1,1,1,6123,True,0
Ancy_6186,1,1,1,6186,True,0
Ancy_9132,1,0,2,9132,True,2
Andackson_1117,1,0,1,1117,True,1
Andackson_5540,1,1,1,5540,True,0
Andackson_659,1,1,1,659,True,0
Anderking_1161,2,1,2,1161,False,1
Andley_5333,1,1,1,5333,True,0
Andley_5472,1,1,1,5472,True,0
Ane_4876,1,0,1,4876,True,1
Aneetle_2373,1,0,1,2373,True,1
Aneetle_7635,1,1,1,7635,True,0
Aneetle_7908,1,1,1,7908,True,0
Aneter_7453,1,1,1,7453,True,0
Anindery_4533,1,1,1,4533,True,0
Anpie_3895,2,1,3,3895,False,2
Anpie_6115,1,0,1,6115,True,1
Anpie_630,1,1,1,630,True,0
Anpie_8019,1,1,1,8019,True,0
Antcal_1882,1,2,2,1882,True,0
Anthompson_2432,1,0,1,2432,True,1
Anthompson_3770,1,1,1,3770,True,0
Anthompson_4482,1,1,1,4482,True,0
Anthompson_5020,1,1,1,5020,True,0
Anthompson_7793,1,0,1,7793,True,1
Anthompson_8486,1,1,1,8486,True,0
Anthompson_9011,1,0,1,9011,True,1
Anthon_1928,1,1,1,1928,True,0
Anthon_6150,1,1,1,6150,True,0
Antoshipson_1015,1,0,1,1015,True,1
Antoshipson_2860,1,1,1,2860,True,0
Antoshipson_5823,1,1,1,5823,True,0
Antoshipson_6709,1,1,1,6709,True,0
Apeau_1419,1,0,1,1419,True,1
Apeau_5363,1,1,1,5363,True,0
Apeau_712,2,1,2,712,False,1
Apedishaft_7941,1,0,1,7941,True,1
Apenelexy_2506,2,1,3,2506,False,2
Apenelexy_5825,1,1,1,5825,True,0
Apie_1391,2,1,3,1391,False,2
Apie_3577,1,0,1,3577,True,1
Apie_3940,1,0,1,3940,True,1
Apie_5058,2,2,3,5058,False,1
Appie_211,1,2,2,211,True,0
Apple_6038,1,0,1,6038,True,1
Apple_9257,1,0,1,9257,True,1
Arible_5314,1,1,1,5314,True,0
Arible_7219,2,3,6,7219,False,3
Armstromez_2624,1,0,1,2624,True,1
Armstromez_4174,1,0,1,4174,True,1
Armstromez_442,1,0,1,442,True,1
Armstromez_9110,1,0,1,9110,True,1
Arner_2476,1,0,1,2476,True,1
Arner_3380,1,0,1,3380,True,1
Arner_5025,1,0,1,5025,True,1
Arner_5535,1,3,3,5535,True,0
Arneras_8645,1,1,1,8645,True,0
Aroodint_2938,1,1,1,2938,True,0
Aroodint_4108,1,2,2,4108,True,0
Aroodint_4338,1,1,1,4338,True,0
Aroodint_7692,1,0,1,7692,True,1
Arterate_2737,1,0,1,2737,True,1
Ashipeck_2703,1,0,1,2703,True,1
Ashipeck_5253,1,1,1,5253,True,0
Ashipeck_7027,1,1,1,7027,True,0
Ashipson_5265,1,0,1,5265,True,1
Asivetfuel_6583,1,1,1,6583,True,0
Asolipery_4750,1,0,2,4750,True,2
Asolipery_6145,1,0,1,6145,True,1
Asoppor_1423,1,2,2,1423,True,0
Asoppor_816,1,0,1,816,True,1
Assibler_1918,2,2,3,1918,False,1
Assibler_4587,1,0,1,4587,True,1
Asticit_4638,1,1,1,4638,True,0
Asticit_926,2,1,2,926,False,1
Atkinney_160,1,0,1,160,True,1
Ausivetpul_304,1,0,1,304,True,1
Ausivetpul_8056,2,1,2,8056,False,1
Avidson_2660,1,0,1,2660,True,1
Avidson_3671,1,0,1,3671,True,1
Avidson_5835,1,1,1,5835,True,0
Avidson_6330,1,1,1,6330,True,0
Avisley_2966,1,1,1,2966,True,0
Avisley_8085,1,0,1,8085,True,1
Avisnydes_4204,2,2,3,4204,False,1
Avisnydes_7683,1,1,1,7683,True,0
Avisnydes_927,1,0,1,927,True,1
Axlentindy_7905,2,1,3,7905,False,2
Ayalazquez_1544,1,0,1,1544,True,1
Ayalazquez_58,1,0,1,58,True,1
Ayalazquez_7366,1,0,1,7366,True,1
Babre_2635,1,1,1,2635,True,0
Bache_1746,1,1,1,1746,True,0
Bache_321,1,0,1,321,True,1
Bache_8012,2,2,3,8012,False,1
Baciffhaut_568,2,1,2,568,False,1
Bacistion_201,1,2,2,201,True,0
Bacistion_4645,1,2,2,4645,True,0
Backe_2962,1,0,1,2962,True,1
Backe_506,1,1,1,506,True,0
Backe_7920,1,1,1,7920,True,0
Bagetvable_4270,1,0,1,4270,True,1
Bagetvable_6994,1,0,1,6994,True,1
Bagint_3310,1,1,1,3310,True,0
Bailes_2127,1,1,1,2127,True,0
Bailes_4546,1,1,1,4546,True,0
Bailes_8244,1,0,1,8244,True,1
Bairdford_2261,1,1,1,2261,True,0
Bairdford_3734,1,1,1,3734,True,0
Bairdford_732,1,0,1,732,True,1
Bairdford_8405,1,1,1,8405,True,0
Bairdyork_5922,1,0,1,5922,True,1
Bairdyork_8653,1,1,1,8653,True,0
Bairdyork_9031,1,0,1,9031,True,1
Bake_4552,1,1,1,4552,True,0
Bake_7700,1,0,1,7700,True,1
Bake_8508,1,3,3,8508,True,0
Bakericks_2152,1,0,1,2152,True,1
Bakericks_3061,1,0,1,3061,True,1
Bakericks_6817,1,0,1,6817,True,1
Bakericks_7411,1,0,1,7411,True,1
Bakericks_7449,1,0,1,7449,True,1
Bakericks_8416,1,1,1,8416,True,0
Bakerrison_232,1,0,1,232,True,1
Bakerrison_3415,1,0,1,3415,True,1
Bakerrison_6992,2,1,3,6992,False,2
Bakerrison_9242,1,1,1,9242,True,0
Bakerson_1728,1,0,1,1728,True,1
Bakerson_2535,1,0,1,2535,True,1
Bakerson_3405,2,1,3,3405,False,2
Bakerson_8237,1,0,1,8237,True,1
Bakerson_8796,1,1,1,8796,True,0
Baketton_10,1,0,1,10,True,1
Baketton_2060,1,0,1,2060,True,1
Baketton_282,1,1,1,282,True,0
Baketton_4470,1,0,1,4470,True,1
Baketton_7989,1,0,1,7989,True,1
Baldens_3248,1,0,1,3248,True,1
Balderts_5463,1,1,1,5463,True,0
Balderts_6029,1,0,1,6029,True,1
Balderts_7425,2,1,2,7425,False,1
Balderts_7957,1,1,1,7957,True,0
