ID,RoomServiceCDF,FoodCourtCDF,ShoppingMallCDF,SpaCDF,VRDeckCDF
1,0.3581,0.1383,0.2617,0.6417,0.2899
2,0.2668,0.8965,0.0000,0.9834,0.2990
3,0.0000,0.7538,0.5977,0.9372,0.4633
4,0.4920,0.2978,0.4698,0.6502,0.0580
5,0.0000,0.5323,0.0000,0.5392,0.0000
6,0.2632,0.7872,0.0908,0.0000,0.0000
8,0.0000,0.6554,0.2253,0.4950,0.0000
11,0.2557,0.9666,0.6891,0.4010,0.4090
12,0.3143,0.0000,0.8875,0.0000,0.3975
13,0.6935,0.0192,0.3668,0.0000,0.2352
14,0.1313,0.7137,0.1927,0.0625,0.1362
15,0.2375,0.0000,0.8345,0.0000,0.0000
16,0.8576,0.3510,0.3022,0.0000,0.0000
17,0.0000,0.0192,0.0000,0.0000,0.6764
20,0.5458,0.0000,0.0266,0.0000,0.6950
27,0.7910,0.0504,0.3708,0.0000,0.0000
29,0.0000,0.4240,0.0000,0.8026,0.0000
30,0.2044,0.9545,0.0000,0.8486,0.5314
31,0.8225,0.0000,0.4546,0.3060,0.0000
32,0.0000,0.6825,0.3901,0.6036,0.5949
33,0.4467,0.0000,0.9168,0.0000,0.8248
35,0.4358,0.0000,0.9417,0.8013,0.0000
37,0.7257,0.7115,0.0000,0.7968,0.0000
38,0.0000,0.5372,0.3320,0.2249,0.5728
39,0.6147,0.4067,0.0000,0.9168,0.0000
42,0.0000,0.3813,0.3214,0.9137,0.7663
46,0.7893,0.0000,0.4879,0.0000,0.3302
48,0.7284,0.0000,0.0000,0.1821,0.0000
49,0.0000,0.3432,0.0000,0.8427,0.4125
50,0.0957,0.0000,0.0668,0.9645,0.0000
51,0.0000,0.0000,0.9548,0.0000,0.0233
54,0.4819,0.5807,0.9859,0.5359,0.0789
56,0.2717,0.7299,0.4665,0.8424,0.0233
57,0.0000,0.5732,0.0000,0.2109,0.2390
60,0.0201,0.3734,0.5012,0.0000,0.5963
62,0.0201,0.4429,0.6306,0.0000,0.0000
63,0.9244,0.2456,0.0000,0.0000,0.2352
64,0.7296,0.0000,0.0668,0.5157,0.0000
65,0.7668,0.0000,0.1682,0.1318,0.0000
66,0.4300,0.0000,0.1230,0.0231,0.7143
67,0.1784,0.8314,0.0000,0.0000,0.3045
68,0.0000,0.0192,0.0000,0.0000,0.8022
69,0.2738,0.3137,0.7738,0.0000,0.1759
70,0.0201,0.9748,0.0000,0.0000,0.6183
71,0.3947,0.0000,0.8703,0.0000,0.0000
72,0.1697,0.0000,0.9048,0.0000,0.0000
73,0.0000,0.9519,0.0000,0.5582,0.9900
75,0.9969,0.0000,0.0000,0.0000,0.0000
78,0.6748,0.0000,0.0000,0.0000,0.2042
80,0.4448,0.0000,0.0000,0.6816,0.6224
84,0.0201,0.6151,0.2831,0.4735,0.0000
85,0.0000,0.0000,0.7369,0.0231,0.2654
88,0.0000,0.7449,0.0000,0.0873,0.6764
89,0.0000,0.6845,0.1230,0.2655,0.0000
90,0.0000,0.8635,0.8589,0.0000,0.3683
91,0.4964,0.5133,0.6646,0.2797,0.0000
94,0.0000,0.0000,0.0000,0.7717,0.3744
95,0.0000,0.0510,0.0000,0.0000,0.2042
98,0.0000,0.0000,0.6829,0.0625,0.4163
99,0.9080,0.1028,0.2253,0.0000,0.0000
101,0.6196,0.0000,0.5742,0.0000,0.0000
103,0.0000,0.5054,0.1354,0.9498,0.7292
104,0.0000,0.4774,0.0000,0.0000,0.8738
105,0.9412,0.9879,0.0000,0.8870,0.5914
108,0.0000,0.8520,0.3999,0.2109,0.1829
109,0.0000,0.0000,0.8047,0.0000,0.0000
110,0.3249,0.3761,0.6235,0.5060,0.0233
112,0.0201,0.8353,0.0000,0.1838,0.5751
113,0.0000,0.8410,0.0000,0.3421,0.9791
116,0.0000,0.0000,0.0000,0.7150,0.3467
117,0.2891,0.5765,0.3345,0.0000,0.0233
119,0.6830,0.0000,0.5566,0.0000,0.2390
120,0.9482,0.4784,0.1682,0.5541,0.0580
121,0.9370,0.1133,0.0000,0.0000,0.0000
124,0.9622,0.0000,0.0000,0.0000,0.0000
125,0.0000,0.1693,0.7707,0.0000,0.0000
126,0.3451,0.5097,0.4429,0.2440,0.3118
128,0.0000,0.2032,0.0000,0.6492,0.4711
131,0.5618,0.0000,0.0000,0.0000,0.5978
132,0.1034,0.0000,0.4136,0.0000,0.0000
133,0.0000,0.5111,0.5097,0.0000,0.0000
136,0.8135,0.0000,0.1777,0.0000,0.3495
139,0.0000,0.0000,0.0000,0.0000,0.6630
140,0.9871,0.0000,0.0000,0.0000,0.3238
143,0.2819,0.8006,0.0000,0.3754,0.4191
147,0.8685,0.0000,0.3320,0.2354,0.4209
149,0.0000,0.0000,0.0000,0.4970,0.6472
152,0.0000,0.7153,0.0000,0.1183,0.0000
153,0.4855,0.0000,0.2195,0.4058,0.4497
154,0.0000,0.9853,0.0266,0.9978,0.9010
155,0.9765,0.0000,0.4765,0.2538,0.4027
156,0.0201,0.4198,0.7388,0.0625,0.1694
159,0.0000,0.0000,0.0908,0.5446,0.3759
161,0.1818,0.3702,0.6228,0.0000,0.4857
162,0.3002,0.0000,0.0000,0.0000,0.7874
164,0.3291,0.0714,0.6111,0.4837,0.3812
168,0.0000,0.0000,0.1777,0.7892,0.0000
170,0.2426,0.0000,0.1586,0.8120,0.0000
172,0.5434,0.0000,0.8278,0.0000,0.0000
173,0.8087,0.0000,0.7662,0.0000,0.1362
174,0.0000,0.7128,0.0000,0.7610,0.6505
181,0.0000,0.8468,0.5550,0.7834,0.5899
183,0.0000,0.0504,0.3682,0.0000,0.7068
184,0.0535,0.8019,0.1927,0.8164,0.4066
187,0.7707,0.0192,0.4567,0.0000,0.0000
189,0.7501,0.0000,0.5635,0.4683,0.0000
190,0.4312,0.0000,0.0000,0.3140,0.7194
191,0.3947,0.4023,0.0000,0.1692,0.5650
192,0.5227,0.4553,0.0000,0.0000,0.4287
193,0.0000,0.2809,0.0000,0.0000,0.8864
194,0.8872,0.0000,0.0000,0.2513,0.0000
199,0.3719,0.3158,0.1719,0.0000,0.0000
200,0.0000,0.0714,0.0000,0.0000,0.8060
203,0.9438,0.0000,0.4381,0.0000,0.0000
204,0.8405,0.3089,0.0266,0.0625,0.0000
205,0.9233,0.1603,0.4950,0.0231,0.0000
207,0.8457,0.0000,0.5607,0.2961,0.7967
208,0.7744,0.0000,0.5159,0.5042,0.0000
210,0.8756,0.0000,0.0000,0.1766,0.0000
213,0.0000,0.0504,0.7345,0.0000,0.1551
214,0.4247,0.0000,0.1230,0.8685,0.0000
216,0.0957,0.1228,0.0000,0.7218,0.3555
217,0.3312,0.0000,0.0266,0.8749,0.0000
219,0.2911,0.0000,0.5338,0.8486,0.0000
220,0.1734,0.6934,0.0000,0.0000,0.0000
222,0.6550,0.0000,0.0000,0.3787,0.5264
224,0.0000,0.7493,0.0000,0.9664,0.8081
225,0.4981,0.0192,0.7488,0.5337,0.0000
229,0.0000,0.8960,0.0000,0.0000,0.1362
230,0.0000,0.3181,0.7993,0.6580,0.9937
231,0.9670,0.0000,0.5509,0.2513,0.0000
232,0.0000,0.0192,0.0000,0.9896,0.8022
235,0.5083,0.6141,0.6705,0.0000,0.0000
236,0.4796,0.5845,0.0000,0.0000,0.0233
237,0.6836,0.3897,0.6142,0.0625,0.1261
239,0.8998,0.0000,0.2250,0.0000,0.0000
241,0.0000,0.0000,0.5680,0.5446,0.3759
242,0.0000,0.9378,0.0000,0.8002,0.8968
243,0.3070,0.2213,0.0000,0.0000,0.7487
246,0.3670,0.0000,0.0000,0.7431,0.0233
247,0.0000,0.4288,0.6919,0.0000,0.0000
248,0.0000,0.2117,0.4455,0.0000,0.8259
250,0.2695,0.8440,0.0000,0.3180,0.0000
251,0.0000,0.0000,0.0000,0.7864,0.1966
252,0.0000,0.3301,0.0000,0.1952,0.5352
253,0.0000,0.0000,0.9617,0.0000,0.0000
254,0.0000,0.7027,0.0000,0.0000,0.0000
256,0.3940,0.5981,0.0266,0.0000,0.0580
259,0.0773,0.7531,0.2745,0.4524,0.1829
261,0.0000,0.5702,0.2892,0.1318,0.8523
262,0.0000,0.0000,0.0000,0.0000,0.7595
264,0.0000,0.9263,0.0000,0.8198,0.5020
268,0.0000,0.9587,0.4017,0.8129,0.0000
270,0.3394,0.0504,0.9079,0.2109,0.0000
273,0.0000,0.0000,0.2143,0.0000,0.8419
275,0.0000,0.5124,0.0000,0.8848,0.9668
276,0.0000,0.5683,0.0000,0.2249,0.9176
277,0.5233,0.3924,0.5355,0.0231,0.3864
278,0.0000,0.0000,0.9122,0.0000,0.0000
279,0.8371,0.0000,0.4729,0.1318,0.0000
280,0.4698,0.4280,0.0000,0.9603,0.4910
281,0.1244,0.5522,0.0266,0.0000,0.0960
283,0.5066,0.0000,0.0000,0.5559,0.0000
285,0.5319,0.0000,0.3791,0.0000,0.8362
287,0.0000,0.8559,0.3283,0.4573,0.0000
289,0.0000,0.0504,0.0000,0.0126,0.0000
290,0.0000,0.1028,0.0908,0.0000,0.0484
291,0.8005,0.0000,0.5088,0.0000,0.0000
295,0.1818,0.0000,0.7924,0.0000,0.0580
297,0.4668,0.9332,0.0000,0.3024,0.4698
298,0.5627,0.4728,0.0000,0.4404,0.8289
299,0.0000,0.0000,0.5321,0.0000,0.6395
301,0.9932,0.0504,0.5105,0.8528,0.0000
302,0.6790,0.0192,0.2195,0.0000,0.0000
304,0.5494,0.4836,0.7145,0.0873,0.8005
309,0.3704,0.0000,0.0000,0.5275,0.7789
312,0.5579,0.0000,0.9179,0.0000,0.0000
313,0.3905,0.8654,0.5038,0.0873,0.0000
314,0.5957,0.0000,0.9494,0.0000,0.0000
316,0.9302,0.0000,0.9848,0.0000,0.0000
319,0.4521,0.7431,0.0000,0.4159,0.6495
322,0.3957,0.0000,0.6342,0.0000,0.3691
323,0.5187,0.4139,0.2935,0.0000,0.3962
324,0.0000,0.2433,0.0000,0.5319,0.5776
325,0.0000,0.0000,0.0000,0.7078,0.2219
326,0.9649,0.3392,0.9917,0.2006,0.0960
328,0.0000,0.0000,0.6919,0.4633,0.3184
329,0.0000,0.3279,0.0000,0.6050,0.7967
331,0.0000,0.1028,0.0000,0.9222,0.0000
333,0.0000,0.0000,0.6784,0.0000,0.4852
334,0.3656,0.0000,0.7933,0.1318,0.0000
335,0.0000,0.7268,0.0000,0.4620,0.9867
336,0.1818,0.4160,0.1087,0.9711,0.7015
338,0.9925,0.4303,0.1475,0.9156,0.9040
341,0.0000,0.8491,0.1354,0.8214,0.8010
343,0.4361,0.0000,0.6905,0.0000,0.4420
347,0.5128,0.0000,0.0000,0.1028,0.5555
348,0.3249,0.6470,0.0000,0.9454,0.4233
351,0.0773,0.0000,0.8373,0.2440,0.0000
352,0.1630,0.6356,0.0000,0.0000,0.4135
355,0.5353,0.2593,0.5909,0.0000,0.0000
356,0.3099,0.9506,0.0000,0.0000,0.7920
357,0.0000,0.3427,0.0000,0.8578,0.0000
358,0.0000,0.9859,0.6760,0.9881,0.9721
359,0.0201,0.5820,0.0000,0.9482,0.0233
362,0.2232,0.5111,0.3006,0.9787,0.0789
363,0.8102,0.0000,0.0000,0.0000,0.0000
364,0.9119,0.0000,0.0000,0.1901,0.0000
366,0.5141,0.6963,0.0000,0.0000,0.0580
367,0.4213,0.2774,0.0000,0.5521,0.1362
368,0.2683,0.1983,0.0000,0.0000,0.8748
369,0.0000,0.5257,0.0000,0.1183,0.4797
371,0.8239,0.3438,0.3445,0.0000,0.0000
372,0.0000,0.0000,0.8863,0.0625,0.0000
373,0.0000,0.3718,0.0000,0.6511,0.0000
374,0.6772,0.0000,0.4193,0.4325,0.0000
375,0.0000,0.9653,0.9955,0.8608,0.0000
376,0.0000,0.3761,0.0000,0.5706,0.3213
379,0.0000,0.7390,0.0000,0.9744,0.8264
381,0.1313,0.8975,0.0000,0.1901,0.3163
382,0.8174,0.0504,0.2654,0.2707,0.0233
385,0.5494,0.7345,0.9979,0.6480,0.7427
386,0.0000,0.9158,0.0000,0.7225,0.9322
387,0.0535,0.9846,0.0000,0.0625,0.4814
389,0.0000,0.7213,0.0000,0.2059,0.0000
391,0.8848,0.1473,0.0000,0.0000,0.0000
393,0.0957,0.6948,0.0000,0.9278,0.9435
397,0.2738,0.1549,0.0000,0.6753,0.0000
398,0.5303,0.0000,0.2484,0.6152,0.0000
399,0.1244,0.0000,0.8161,0.2476,0.0000
401,0.6189,0.9496,0.3214,0.8905,0.3140
402,0.0000,0.0000,0.0000,0.7271,0.0000
403,0.1244,0.7236,0.0000,0.0000,0.0000
404,0.9521,0.5141,0.4206,0.0000,0.0000
405,0.9182,0.0000,0.4546,0.0000,0.0000
406,0.8664,0.0000,0.0000,0.2411,0.7455
407,0.0000,0.0000,0.0000,0.3581,0.7103
409,0.1397,0.0000,0.7980,0.0000,0.0000
410,0.7119,0.0000,0.0000,0.2655,0.0000
417,0.1085,0.9198,0.0000,0.7390,0.1123
420,0.4440,0.4005,0.4950,0.3308,0.3447
421,0.0000,0.0000,0.7783,0.2476,0.0000
425,0.9394,0.0000,0.0000,0.3308,0.0580
427,0.0000,0.6888,0.0000,0.0000,0.0000
428,0.0000,0.2978,0.4900,0.6707,0.2181
431,0.7578,0.0000,0.5345,0.3900,0.2678
