ID,RoomServiceCDF,FoodCourtCDF,ShoppingMallCDF,SpaCDF,VRDeckCDF
0,0.0000,0.0000,0.0000,0.0000,0.0000
1,0.3581,0.1383,0.2617,0.6417,0.2899
2,0.2668,0.8965,0.0000,0.9834,0.2990
3,0.0000,0.7538,0.5977,0.9372,0.4633
4,0.4920,0.2978,0.4698,0.6502,0.0580
5,0.0000,0.5323,0.0000,0.5392,0.0000
6,0.2632,0.7872,0.0908,0.0000,0.0000
7,0.0000,0.0000,0.0000,0.0000,0.0000
8,0.0000,0.6554,0.2253,0.4950,0.0000
9,0.0000,0.0000,0.0000,0.0000,0.0000
10,0.0000,0.0000,0.0000,0.0000,0.0000
11,0.2557,0.9666,0.6891,0.4010,0.4090
12,0.3143,0.0000,0.8875,0.0000,0.3975
13,0.6935,0.0192,0.3668,0.0000,0.2352
14,0.1313,0.7137,0.1927,0.0625,0.1362
15,0.2375,0.0000,0.8345,0.0000,0.0000
16,0.8576,0.3510,0.3022,0.0000,0.0000
17,0.0000,0.0192,0.0000,0.0000,0.6764
18,0.0000,0.0000,0.0000,0.0000,0.0000
19,0.0000,0.0000,0.0000,0.0000,0.0000
20,0.5458,0.0000,0.0266,0.0000,0.6950
21,0.0000,0.0000,0.0000,0.0000,0.0000
22,0.0000,0.0000,0.0000,0.0000,0.0000
23,0.0000,0.0000,0.0000,0.0000,0.0000
24,0.0000,0.0000,0.0000,0.0000,0.0000
25,0.0000,0.0000,0.0000,0.0000,0.0000
26,0.0000,0.0000,0.0000,0.0000,0.0000
27,0.7910,0.0504,0.3708,0.0000,0.0000
28,0.0000,0.0000,0.0000,0.0000,0.0000
29,0.0000,0.4240,0.0000,0.8026,0.0000
30,0.2044,0.9545,0.0000,0.8486,0.5314
31,0.8225,0.0000,0.4546,0.3060,0.0000
32,0.0000,0.6825,0.3901,0.6036,0.5949
33,0.4467,0.0000,0.9168,0.0000,0.8248
34,0.0000,0.0000,0.0000,0.0000,0.0000
35,0.4358,0.0000,0.9417,0.8013,0.0000
36,0.0000,0.0000,0.0000,0.0000,0.0000
37,0.7257,0.7115,0.0000,0.7968,0.0000
38,0.0000,0.5372,0.3320,0.2249,0.5728
39,0.6147,0.4067,0.0000,0.9168,0.0000
40,0.0000,0.0000,0.0000,0.0000,0.0000
41,0.0000,0.0000,0.0000,0.0000,0.0000
42,0.0000,0.3813,0.3214,0.9137,0.7663
43,0.0000,0.0000,0.0000,0.0000,0.0000
44,0.0000,0.0000,0.0000,0.0000,0.0000
45,0.0000,0.0000,0.0000,0.0000,0.0000
46,0.7893,0.0000,0.4879,0.0000,0.3302
47,0.0000,0.0000,0.0000,0.0000,0.0000
48,0.7284,0.0000,0.0000,0.1821,0.0000
49,0.0000,0.3432,0.0000,0.8427,0.4125
50,0.0957,0.0000,0.0668,0.9645,0.0000
51,0.0000,0.0000,0.9548,0.0000,0.0233
52,0.0000,0.0000,0.0000,0.0000,0.0000
53,0.0000,0.0000,0.0000,0.0000,0.0000
54,0.4819,0.5807,0.9859,0.5359,0.0789
55,0.0000,0.0000,0.0000,0.0000,0.0000
56,0.2717,0.7299,0.4665,0.8424,0.0233
57,0.0000,0.5732,0.0000,0.2109,0.2390
58,0.0000,0.0000,0.0000,0.0000,0.0000
