Group,NumInGroup,GroupSize,HomePlanet,CryoSleep,Deck,Num,Side,Destination,Age,VIP,Surname,TotalExpenses,HasExpenses,Transported,AgeImputed,AgeCluster,AgeClusterLabel
1,1,1,Europa,False,B,0.0,P,TRAPPIST-1e,39.0,False,Ofracculy_1,0,0,False,39.0,1,C1_33-79
2,1,1,Earth,False,F,0.0,S,TRAPPIST-1e,24.0,False,Vines_2,736,1,True,24.0,0,C0_0-32
3,1,2,Europa,False,A,0.0,S,TRAPPIST-1e,58.0,True,Susent_3,10383,1,False,58.0,1,C1_33-79
3,2,2,Europa,False,A,0.0,S,TRAPPIST-1e,33.0,False,Susent_3,5176,1,False,33.0,1,C1_33-79
4,1,1,Earth,False,F,1.0,S,TRAPPIST-1e,16.0,False,Santantines_4,1091,1,True,16.0,0,C0_0-32
5,1,1,Earth,False,F,0.0,P,PSO J318.5-22,44.0,False,Hinetthews_5,774,1,True,44.0,1,C1_33-79
6,1,2,Earth,False,F,2.0,S,TRAPPIST-1e,26.0,False,Jacostaffey_6,1584,1,True,26.0,0,C0_0-32
6,2,2,Earth,True,G,0.0,S,TRAPPIST-1e,28.0,False,Jacostaffey_6,0,0,True,28.0,0,C0_0-32
7,1,1,Earth,False,F,3.0,S,TRAPPIST-1e,35.0,False,Beston_7,1018,1,True,35.0,1,C1_33-79
8,1,3,Europa,True,B,1.0,P,55 Cancri e,14.0,False,Flatic_8,0,0,True,14.0,0,C0_0-32
8,2,3,Europa,True,B,1.0,P,TRAPPIST-1e,34.0,False,Flatic_8,0,0,True,34.0,1,C1_33-79
8,3,3,Europa,False,B,1.0,P,55 Cancri e,45.0,False,Flatic_8,8157,1,True,45.0,1,C1_33-79
9,1,1,Mars,False,F,1.0,P,TRAPPIST-1e,32.0,False,Barne_9,1309,1,True,32.0,0,C0_0-32
10,1,1,Earth,False,G,1.0,S,TRAPPIST-1e,48.0,False,Baketton_10,809,1,False,48.0,1,C1_33-79
11,1,1,Earth,False,F,2.0,P,TRAPPIST-1e,28.0,False,Bertsontry_11,1003,1,True,28.0,0,C0_0-32
12,1,1,Earth,False,,,,TRAPPIST-1e,31.0,False,Pooles_12,908,1,False,31.0,0,C0_0-32
14,1,1,Mars,False,F,3.0,P,55 Cancri e,27.0,False,Eccle_14,1408,1,False,27.0,0,C0_0-32
15,1,1,Earth,False,F,4.0,P,55 Cancri e,24.0,False,Hughriend_15,638,1,False,24.0,0,C0_0-32
16,1,1,Mars,True,F,5.0,P,TRAPPIST-1e,45.0,False,Upead_16,0,0,True,45.0,1,C1_33-79
17,1,2,Earth,False,G,0.0,P,TRAPPIST-1e,0.0,False,Brighttt_17,0,0,True,0.0,0,C0_0-32
17,2,2,Earth,False,F,6.0,P,55 Cancri e,14.0,False,Brighttt_17,1092,1,False,14.0,0,C0_0-32
20,1,6,Earth,True,E,0.0,S,TRAPPIST-1e,1.0,False,Brantuarez_20,0,0,False,1.0,0,C0_0-32
20,2,6,Earth,True,E,0.0,S,55 Cancri e,49.0,False,Brantuarez_20,0,0,False,49.0,1,C1_33-79
20,3,6,Earth,True,E,0.0,S,55 Cancri e,29.0,False,Mcfaddennon_20,0,0,False,29.0,0,C0_0-32
20,4,6,Earth,False,E,0.0,S,TRAPPIST-1e,10.0,False,Jacostanley_20,0,0,True,10.0,0,C0_0-32
20,5,6,Earth,True,E,0.0,S,PSO J318.5-22,1.0,False,Brantuarez_20,0,0,False,1.0,0,C0_0-32
20,6,6,Earth,False,E,0.0,S,TRAPPIST-1e,7.0,False,Mcfaddennon_20,0,0,False,7.0,0,C0_0-32
22,1,1,Mars,False,D,0.0,P,TRAPPIST-1e,21.0,False,,1051,1,False,21.0,0,C0_0-32
24,1,1,Europa,True,C,2.0,S,TRAPPIST-1e,62.0,False,Fullided_24,0,0,True,62.0,1,C1_33-79
25,1,1,Earth,False,F,6.0,S,TRAPPIST-1e,15.0,False,Brookenson_25,1223,1,False,15.0,0,C0_0-32
26,1,1,Europa,False,C,0.0,P,55 Cancri e,34.0,False,Unconary_26,7861,1,False,34.0,1,C1_33-79
28,1,1,Mars,False,F,8.0,P,TRAPPIST-1e,43.0,False,Mare_28,1309,1,False,43.0,1,C1_33-79
30,1,1,Earth,False,G,4.0,S,TRAPPIST-1e,32.0,False,Morsentley_30,1821,1,False,32.0,0,C0_0-32
31,1,3,Mars,False,F,9.0,P,TRAPPIST-1e,47.0,False,Datie_31,2854,1,True,47.0,1,C1_33-79
31,2,3,Mars,False,F,9.0,P,TRAPPIST-1e,2.0,False,Datie_31,0,0,True,2.0,0,C0_0-32
