Group,NumInGroup,GroupSize,HomePlanet,CryoSleep,Deck,Num,Side,Destination,Age,VIP,Surname,TotalExpenses,HasExpenses,Transported,AgeImputed,AgeCluster,AgeClusterLabel
1,1,1,Europa,False,B,0.0,P,TRAPPIST-1e,39.0,False,Ofracculy_1,0,0,False,39.0,3,C3_35-48
2,1,1,Earth,False,F,0.0,S,TRAPPIST-1e,24.0,False,Vines_2,736,1,True,24.0,2,C2_24-34
3,1,2,Europa,False,A,0.0,S,TRAPPIST-1e,58.0,True,Susent_3,10383,1,False,58.0,4,C4_49-79
3,2,2,Europa,False,A,0.0,S,TRAPPIST-1e,33.0,False,Susent_3,5176,1,False,33.0,2,C2_24-34
4,1,1,Earth,False,F,1.0,S,TRAPPIST-1e,16.0,False,Santantines_4,1091,1,True,16.0,1,C1_12-23
5,1,1,Earth,False,F,0.0,P,PSO J318.5-22,44.0,False,Hinetthews_5,774,1,True,44.0,3,C3_35-48
6,1,2,Earth,False,F,2.0,S,TRAPPIST-1e,26.0,False,Jacostaffey_6,1584,1,True,26.0,2,C2_24-34
6,2,2,Earth,True,G,0.0,S,TRAPPIST-1e,28.0,False,Jacostaffey_6,0,0,True,28.0,2,C2_24-34
7,1,1,Earth,False,F,3.0,S,TRAPPIST-1e,35.0,False,Beston_7,1018,1,True,35.0,3,C3_35-48
8,1,3,Europa,True,B,1.0,P,55 Cancri e,14.0,False,Flatic_8,0,0,True,14.0,1,C1_12-23
8,2,3,Europa,True,B,1.0,P,TRAPPIST-1e,34.0,False,Flatic_8,0,0,True,34.0,2,C2_24-34
8,3,3,Europa,False,B,1.0,P,55 Cancri e,45.0,False,Flatic_8,8157,1,True,45.0,3,C3_35-48
9,1,1,Mars,False,F,1.0,P,TRAPPIST-1e,32.0,False,Barne_9,1309,1,True,32.0,2,C2_24-34
10,1,1,Earth,False,G,1.0,S,TRAPPIST-1e,48.0,False,Baketton_10,809,1,False,48.0,3,C3_35-48
11,1,1,Earth,False,F,2.0,P,TRAPPIST-1e,28.0,False,Bertsontry_11,1003,1,True,28.0,2,C2_24-34
12,1,1,Earth,False,,,,TRAPPIST-1e,31.0,False,Pooles_12,908,1,False,31.0,2,C2_24-34
14,1,1,Mars,False,F,3.0,P,55 Cancri e,27.0,False,Eccle_14,1408,1,False,27.0,2,C2_24-34
15,1,1,Earth,False,F,4.0,P,55 Cancri e,24.0,False,Hughriend_15,638,1,False,24.0,2,C2_24-34
16,1,1,Mars,True,F,5.0,P,TRAPPIST-1e,45.0,False,Upead_16,0,0,True,45.0,3,C3_35-48
17,1,2,Earth,False,G,0.0,P,TRAPPIST-1e,0.0,False,Brighttt_17,0,0,True,0.0,0,C0_0-11
17,2,2,Earth,False,F,6.0,P,55 Cancri e,14.0,False,Brighttt_17,1092,1,False,14.0,1,C1_12-23
20,1,6,Earth,True,E,0.0,S,TRAPPIST-1e,1.0,False,Brantuarez_20,0,0,False,1.0,0,C0_0-11
20,2,6,Earth,True,E,0.0,S,55 Cancri e,49.0,False,Brantuarez_20,0,0,False,49.0,4,C4_49-79
20,3,6,Earth,True,E,0.0,S,55 Cancri e,29.0,False,Mcfaddennon_20,0,0,False,29.0,2,C2_24-34
20,4,6,Earth,False,E,0.0,S,TRAPPIST-1e,10.0,False,Jacostanley_20,0,0,True,10.0,0,C0_0-11
20,5,6,Earth,True,E,0.0,S,PSO J318.5-22,1.0,False,Brantuarez_20,0,0,False,1.0,0,C0_0-11
